participant;item;rt;region;type2;add;final_rt
6;5;1494;de;subject relative;99.5049203019945;1593.50492030199
6;6;495;de;object relative;103.036232104047;598.036232104047
6;7;281;de;subject relative;107.243363944514;388.243363944514
6;8;760;de;object relative;100.034340058999;860.034340058999
6;9;261;de;subject relative;108.28981688996;369.28981688996
6;10;317;de;object relative;100.600744352302;417.600744352302
6;11;297;de;subject relative;106.786638033804;403.786638033804
6;13;237;de;subject relative;100.952856926861;337.952856926861
6;14;284;de;object relative;102.665993026917;386.665993026917
6;15;857;de;subject relative;99.4950535438975;956.495053543897
6;16;1205;de;object relative;97.8950364624643;1302.89503646246
7;1;342;de;object relative;109.223928451904;451.223928451904
7;2;430;de;subject relative;95.3606097798898;525.36060977989
7;3;390;de;object relative;104.615063060646;494.615063060646
7;4;382;de;subject relative;101.37859726353;483.37859726353
7;5;294;de;object relative;103.61740168324;397.61740168324
7;6;670;de;subject relative;101.452953713191;771.452953713191
7;7;229;de;object relative;98.3689918352721;327.368991835272
7;8;638;de;subject relative;96.319950535851;734.319950535851
7;9;318;de;object relative;102.719962075591;420.719962075591
7;10;350;de;subject relative;104.915097086062;454.915097086062
7;11;414;de;object relative;104.929031541836;518.929031541836
7;13;414;de;object relative;102.459465304996;516.459465304996
7;14;310;de;subject relative;95.5700418913345;405.570041891334
7;15;269;de;object relative;106.061808566068;375.061808566068
7;16;293;de;subject relative;101.200876521889;394.200876521889
8;1;265;de;subject relative;100.021721433939;365.021721433939
8;2;344;de;object relative;98.3049515613016;442.304951561302
8;3;1480;de;subject relative;97.0412002814097;1577.04120028141
8;4;310;de;object relative;92.6304566162669;402.630456616267
8;5;375;de;subject relative;95.5984890181835;470.598489018183
8;6;313;de;object relative;93.1601430744063;406.160143074406
8;7;280;de;subject relative;103.108404233539;383.108404233539
8;8;327;de;object relative;103.968395240601;430.968395240601
8;9;515;de;subject relative;98.7114322643628;613.711432264363
8;10;474;de;object relative;92.9450919762562;566.945091976256
8;11;357;de;subject relative;94.6526216692794;451.652621669279
8;13;382;de;subject relative;101.975108429609;483.975108429609
8;14;293;de;object relative;104.835458733247;397.835458733247
8;15;329;de;subject relative;107.601065490671;436.601065490671
8;16;794;de;object relative;103.090283979725;897.090283979725
9;1;382;de;object relative;109.405243193617;491.405243193617
9;2;823;de;subject relative;99.464784689908;922.464784689908
9;3;566;de;object relative;105.871219967304;671.871219967304
9;4;382;de;subject relative;103.563667588817;485.563667588817
9;5;318;de;object relative;90.7701579995488;408.770157999549
9;6;333;de;subject relative;100.243276894815;433.243276894815
9;7;310;de;object relative;101.987782578753;411.987782578753
9;8;398;de;subject relative;94.5905255267684;492.590525526768
9;9;365;de;object relative;87.439165876799;452.439165876799
9;10;2386;de;subject relative;106.326524063211;2492.32652406321
9;11;333;de;object relative;98.7333713414816;431.733371341482
9;13;398;de;object relative;115.617649227999;513.617649227999
9;14;350;de;subject relative;105.826482871494;455.826482871494
9;15;406;de;object relative;103.353807105939;509.353807105939
9;16;358;de;subject relative;97.2658084142368;455.265808414237
11;1;326;de;object relative;110.868194435881;436.868194435881
11;2;823;de;subject relative;106.48005644862;929.48005644862
11;3;478;de;object relative;94.7496154486336;572.749615448634
11;4;446;de;subject relative;92.4642715481561;538.464271548156
11;5;370;de;object relative;104.408423494004;474.408423494004
11;6;526;de;subject relative;105.09047179916;631.09047179916
11;7;350;de;object relative;97.483030954913;447.483030954913
11;8;390;de;subject relative;106.014575953314;496.014575953314
11;9;534;de;object relative;100.515385488305;634.515385488305
11;10;430;de;subject relative;103.332060643242;533.332060643242
11;11;502;de;object relative;93.4038458831233;595.403845883123
11;13;382;de;object relative;104.10097880648;486.10097880648
11;14;318;de;subject relative;102.880631577226;420.880631577226
11;15;388;de;object relative;98.3480924729879;486.348092472988
11;16;358;de;subject relative;92.9207747713256;450.920774771326
12;1;630;de;subject relative;103.541107004095;733.541107004095
12;2;582;de;object relative;104.574724389663;686.574724389663
12;3;532;de;subject relative;98.364998634731;630.364998634731
12;4;731;de;object relative;92.597041993549;823.597041993549
12;5;596;de;subject relative;97.3635097589277;693.363509758928
12;6;725;de;object relative;106.962595382031;831.962595382031
12;7;582;de;subject relative;94.9871913186064;676.987191318606
12;8;647;de;object relative;95.2641509069488;742.264150906949
12;9;543;de;subject relative;107.26392273273;650.263922732729
12;10;583;de;object relative;103.109280547253;686.109280547253
12;11;607;de;subject relative;100.798957331653;707.798957331653
12;13;785;de;subject relative;107.78728572339;892.78728572339
12;14;1249;de;object relative;102.274755828091;1351.27475582809
12;15;1041;de;subject relative;102.493633362855;1143.49363336285
12;16;599;de;object relative;109.553141799456;708.553141799456
14;1;2122;de;subject relative;93.6228122973307;2215.62281229733
14;2;550;de;object relative;104.754392801497;654.754392801497
14;3;630;de;subject relative;101.722320253092;731.722320253092
14;4;631;de;object relative;99.6128739932212;730.612873993221
14;5;398;de;subject relative;97.7316355419144;495.731635541914
14;6;566;de;object relative;115.773112762971;681.773112762971
14;7;517;de;subject relative;91.3146154184978;608.314615418498
14;8;542;de;object relative;93.0266749110557;635.026674911056
14;9;534;de;subject relative;105.207112293857;639.207112293857
14;10;293;de;object relative;96.9168174235515;389.916817423552
14;11;871;de;subject relative;101.197806405653;972.197806405653
14;13;775;de;subject relative;103.129644171446;878.129644171446
14;14;919;de;object relative;106.471157984861;1025.47115798486
14;15;414;de;subject relative;100.40492500257;514.404925002571
14;16;382;de;object relative;95.6001788265068;477.600178826507
15;1;285;de;object relative;95.0989489050855;380.098948905086
15;2;314;de;subject relative;106.494118653142;420.494118653142
15;3;892;de;object relative;99.493958276129;991.493958276129
15;4;433;de;subject relative;95.2639159954537;528.263915995454
15;5;434;de;object relative;106.675112707445;540.675112707445
15;6;397;de;subject relative;102.381685259572;499.381685259572
15;7;328;de;object relative;103.276192868492;431.276192868492
15;8;284;de;subject relative;99.5813327418026;383.581332741803
15;9;460;de;object relative;101.006247312774;561.006247312774
15;10;934;de;subject relative;96.6053308389247;1030.60533083892
15;11;287;de;object relative;103.251482277726;390.251482277726
15;13;322;de;object relative;96.4161420334868;418.416142033487
15;14;609;de;subject relative;97.4137702508618;706.413770250862
15;15;340;de;object relative;102.845370350189;442.845370350189
15;16;743;de;subject relative;97.914756177043;840.914756177043
16;1;448;de;subject relative;94.0418396445919;542.041839644592
16;2;349;de;object relative;104.500945648715;453.500945648715
16;3;436;de;subject relative;95.1761513719144;531.176151371914
16;4;294;de;object relative;99.5372511199808;393.537251119981
16;5;405;de;subject relative;102.269083830014;507.269083830014
16;6;316;de;object relative;98.9076410871328;414.907641087133
16;7;344;de;subject relative;91.5973414007793;435.597341400779
16;8;331;de;object relative;100.446551971886;431.446551971886
16;9;493;de;subject relative;98.4069888746727;591.406988874673
16;10;383;de;object relative;93.3230267539741;476.323026753974
16;11;317;de;subject relative;98.2821101270787;415.282110127079
16;13;339;de;subject relative;103.553326871445;442.553326871445
16;14;266;de;object relative;100.111202942939;366.111202942939
16;15;357;de;subject relative;91.8172459530666;448.817245953067
16;16;416;de;object relative;100.670916948027;516.670916948027
17;1;428;de;object relative;100.746592472162;528.746592472162
17;2;372;de;subject relative;100.57786347933;472.57786347933
17;3;532;de;object relative;97.6241182530898;629.62411825309
17;4;990;de;subject relative;111.231653902377;1101.23165390238
17;5;537;de;object relative;99.6735855615569;636.673585561557
17;6;599;de;subject relative;98.4973607483934;697.497360748393
17;7;517;de;object relative;104.92858499653;621.92858499653
17;8;508;de;subject relative;93.3247404933933;601.324740493393
17;9;501;de;object relative;98.5798583895037;599.579858389504
17;10;736;de;subject relative;105.810132424792;841.810132424792
17;11;466;de;object relative;90.1225685202098;556.12256852021
17;13;488;de;object relative;105.052131405211;593.052131405211
17;14;360;de;subject relative;104.444719408628;464.444719408628
17;15;455;de;object relative;100.418199749044;555.418199749044
17;16;593;de;subject relative;103.8223163668;696.8223163668
18;1;342;de;subject relative;94.4093604568408;436.409360456841
18;2;286;de;object relative;96.6817751795318;382.681775179532
18;3;406;de;subject relative;102.852870213638;508.852870213638
18;4;270;de;object relative;96.1342302692489;366.134230269249
18;5;550;de;subject relative;95.3378823378875;645.337882337887
18;6;422;de;object relative;88.9924232196274;510.992423219627
18;7;262;de;subject relative;95.3130211992749;357.313021199275
18;8;374;de;object relative;103.438850370045;477.438850370045
18;9;350;de;subject relative;101.690030280565;451.690030280565
18;10;334;de;object relative;108.572270447429;442.572270447429
18;11;350;de;subject relative;103.689505913351;453.689505913351
18;13;422;de;subject relative;98.4135447179435;520.413544717944
18;14;342;de;object relative;97.5243362597528;439.524336259753
18;15;373;de;subject relative;101.48489202626;474.48489202626
18;16;294;de;object relative;95.7958405822305;389.795840582231
19;1;201;de;object relative;98.6063708456473;299.606370845647
19;2;336;de;subject relative;99.2284886954679;435.228488695468
19;3;240;de;object relative;106.429343805505;346.429343805505
19;4;167;de;subject relative;96.5981082762035;263.598108276203
19;5;249;de;object relative;101.867085732749;350.867085732749
19;6;183;de;subject relative;108.159177665144;291.159177665144
19;7;287;de;object relative;100.915326794289;387.915326794289
19;8;194;de;subject relative;102.962004052583;296.962004052583
19;9;206;de;object relative;97.9114128883152;303.911412888315
19;10;201;de;subject relative;102.028121709517;303.028121709517
19;11;177;de;object relative;100.739583423259;277.739583423259
19;13;220;de;object relative;104.576579106427;324.576579106427
19;14;242;de;subject relative;98.2467108730139;340.246710873014
19;15;186;de;object relative;87.0518124600113;273.051812460011
19;16;283;de;subject relative;93.7087179437045;376.708717943704
20;1;317;de;subject relative;111.411916788662;428.411916788662
20;2;262;de;object relative;104.118457512791;366.118457512791
20;3;298;de;subject relative;98.5942052693498;396.59420526935
20;4;236;de;object relative;103.125588949747;339.125588949747
20;5;390;de;subject relative;87.9916966348428;477.991696634843
20;6;274;de;object relative;103.307553273877;377.307553273877
20;7;285;de;subject relative;103.98405934619;388.98405934619
20;8;514;de;object relative;104.233825352087;618.233825352087
20;9;236;de;subject relative;96.6239482977494;332.623948297749
20;10;533;de;object relative;102.366022534482;635.366022534482
20;11;229;de;subject relative;102.467741851486;331.467741851486
20;13;265;de;subject relative;106.571676432452;371.571676432452
20;14;242;de;object relative;95.2792950249722;337.279295024972
20;15;281;de;subject relative;105.798288262075;386.798288262075
20;16;319;de;object relative;94.2480949471267;413.248094947127
21;1;278;de;object relative;81.807841944207;359.807841944207
21;2;334;de;subject relative;105.904586892746;439.904586892746
21;3;229;de;object relative;94.9352070321288;323.935207032129
21;4;374;de;subject relative;97.6099829401833;471.609982940183
21;5;326;de;object relative;94.4839409536596;420.48394095366
21;6;229;de;subject relative;100.245899141192;329.245899141192
21;7;366;de;object relative;113.252408353757;479.252408353757
21;8;278;de;subject relative;93.5538222141377;371.553822214138
21;9;301;de;object relative;105.840503771531;406.840503771531
21;10;1472;de;subject relative;102.370478262593;1574.37047826259
21;11;454;de;object relative;96.8994756285112;550.899475628511
21;13;358;de;object relative;100.055716841509;458.055716841509
21;14;253;de;subject relative;98.4733300771739;351.473330077174
21;15;269;de;object relative;98.9563332732141;367.956333273214
21;16;743;de;subject relative;100.055977420655;843.055977420655
22;1;477;de;subject relative;101.982437335613;578.982437335613
22;2;432;de;object relative;107.220530747576;539.220530747576
22;3;544;de;subject relative;94.0338818861561;638.033881886156
22;4;649;de;object relative;102.094999894911;751.094999894911
22;5;501;de;subject relative;92.8104614231994;593.810461423199
22;6;347;de;object relative;93.5039149877168;440.503914987717
22;7;479;de;subject relative;104.135872883405;583.135872883405
22;8;2378;de;object relative;106.526184041635;2484.52618404163
22;9;428;de;subject relative;97.5054045767085;525.505404576708
22;10;453;de;object relative;102.087559451801;555.087559451801
22;11;488;de;subject relative;98.2795609709934;586.279560970993
22;13;474;de;subject relative;93.9589868887304;567.95898688873
22;14;1099;de;object relative;101.287921864884;1200.28792186488
22;15;358;de;subject relative;99.9811276108236;457.981127610824
22;16;445;de;object relative;95.1383114755843;540.138311475584
23;1;502;de;object relative;92.3005068768206;594.300506876821
23;2;350;de;subject relative;98.9436633160557;448.943663316056
23;3;382;de;object relative;104.376839128401;486.376839128401
23;4;1729;de;subject relative;103.223900253462;1832.22390025346
23;5;406;de;object relative;101.779260192735;507.779260192735
23;6;470;de;subject relative;95.6856147958564;565.685614795856
23;7;326;de;object relative;98.1236446074165;424.123644607416
23;8;486;de;subject relative;104.838636541192;590.838636541192
23;9;1128;de;object relative;105.721565299923;1233.72156529992
23;10;358;de;subject relative;99.4936156950647;457.493615695065
23;11;406;de;object relative;91.7905158777387;497.790515877739
23;13;326;de;object relative;101.909808307044;427.909808307044
23;14;237;de;subject relative;103.927571995087;340.927571995087
23;15;390;de;object relative;103.97517071691;493.97517071691
23;16;437;de;subject relative;90.5427635819279;527.542763581928
24;1;449;de;subject relative;106.459634544775;555.459634544775
24;2;428;de;object relative;97.7437204107671;525.743720410767
24;3;378;de;subject relative;102.510436874431;480.510436874431
24;4;438;de;object relative;97.7647377806657;535.764737780666
24;5;533;de;subject relative;98.729593134999;631.729593134999
24;6;465;de;object relative;96.6251563065043;561.625156306504
24;7;349;de;subject relative;96.7060888813345;445.706088881334
24;8;2183;de;object relative;103.495558509028;2286.49555850903
24;9;833;de;subject relative;97.3537066602587;930.353706660259
24;10;429;de;object relative;102.550578382163;531.550578382163
24;11;409;de;subject relative;97.596894751931;506.596894751931
24;13;1673;de;subject relative;94.4108778521909;1767.41087785219
24;14;347;de;object relative;102.866757858085;449.866757858085
24;15;927;de;subject relative;98.155383416661;1025.15538341666
24;16;357;de;object relative;104.917721354325;461.917721354325
26;1;366;de;subject relative;100.13910504353;466.13910504353
26;2;759;de;object relative;90.8341160441363;849.834116044136
26;3;639;de;subject relative;101.938782181978;740.938782181978
26;4;366;de;object relative;101.552288838911;467.552288838911
26;5;350;de;subject relative;107.04538779903;457.04538779903
26;6;342;de;object relative;98.0498301564076;440.049830156408
26;7;342;de;subject relative;96.4411211326492;438.441121132649
26;8;366;de;object relative;111.449428895175;477.449428895174
26;9;358;de;subject relative;101.821192490851;459.821192490851
26;10;342;de;object relative;101.334679769571;443.334679769571
26;11;374;de;subject relative;95.4558902113387;469.455890211339
26;13;462;de;subject relative;96.4577635681362;558.457763568136
26;14;318;de;object relative;94.8019534457302;412.80195344573
26;15;366;de;subject relative;100.049552670609;466.049552670609
26;16;526;de;object relative;103.756138454295;629.756138454295
27;1;1170;de;object relative;97.0374966475248;1267.03749664752
27;2;1000;de;subject relative;102.795806109733;1102.79580610973
27;3;279;de;object relative;103.10278858675;382.10278858675
27;4;366;de;object relative;97.95239185766;463.95239185766
27;5;350;de;subject relative;100.103371950006;450.103371950006
27;6;342;de;object relative;99.5285127012108;441.528512701211
27;7;342;de;subject relative;100.299685970858;442.299685970858
27;8;389;de;subject relative;101.568935238013;490.568935238013
27;9;285;de;object relative;89.2022909329032;374.202290932903
27;10;360;de;subject relative;100.319398076972;460.319398076972
27;11;350;de;object relative;98.4548447049969;448.454844704997
27;13;391;de;object relative;99.9823540022293;490.982354002229
27;14;261;de;object relative;98.7428882003346;359.742888200335
27;15;521;de;object relative;94.5596907705456;615.559690770546
27;16;344;de;subject relative;113.032057733122;457.032057733122
28;1;2836;de;subject relative;102.737405512085;2938.73740551209
28;2;1512;de;object relative;107.301054903694;1619.30105490369
28;3;350;de;subject relative;99.9114770089969;449.911477008997
28;4;270;de;object relative;105.375582995147;375.375582995147
28;5;414;de;subject relative;91.6821073588559;505.682107358856
28;6;318;de;object relative;104.105697022495;422.105697022495
28;7;238;de;subject relative;95.5761261452729;333.576126145273
28;8;1015;de;object relative;103.141660943791;1118.14166094379
28;9;751;de;subject relative;103.466561061943;854.466561061943
28;10;703;de;object relative;100.637367820726;803.637367820726
28;11;382;de;subject relative;101.092893799125;483.092893799125
28;13;334;de;subject relative;97.9509051622599;431.95090516226
28;14;262;de;object relative;100.776776103159;362.776776103159
28;15;326;de;subject relative;99.8698890719509;425.869889071951
28;16;559;de;object relative;102.56401855589;661.56401855589
29;1;318;de;object relative;96.1367744049111;414.136774404911
29;2;206;de;subject relative;106.846211947004;312.846211947004
29;3;334;de;object relative;98.7765618943198;432.77656189432
29;4;197;de;subject relative;103.262274214459;300.262274214459
29;5;294;de;object relative;100.120466505968;394.120466505968
29;6;374;de;subject relative;92.4247295710344;466.424729571034
29;7;246;de;object relative;97.2000993972675;343.200099397268
29;8;326;de;subject relative;101.272015053001;427.272015053001
29;9;165;de;object relative;100.19951156859;265.19951156859
29;10;382;de;subject relative;91.6250657137688;473.625065713769
29;11;222;de;object relative;98.9584711609019;320.958471160902
29;13;334;de;object relative;102.664633847965;436.664633847965
29;14;318;de;subject relative;98.8663094622864;416.866309462286
29;15;310;de;object relative;100.211104984843;410.211104984843
29;16;358;de;subject relative;97.21957915757;455.21957915757
30;1;715;de;subject relative;99.5416801903477;814.541680190348
30;2;371;de;object relative;96.8846661663815;467.884666166381
30;3;375;de;subject relative;102.025043821575;477.025043821575
30;4;243;de;object relative;103.287083684719;346.287083684719
30;5;486;de;subject relative;100.899500819375;586.899500819375
30;6;336;de;object relative;100.949541803577;436.949541803577
30;7;259;de;subject relative;99.9346520353146;358.934652035315
30;8;359;de;object relative;102.379405500336;461.379405500336
30;9;452;de;subject relative;103.746754104355;555.746754104355
30;10;385;de;object relative;105.783720491059;490.783720491059
30;11;307;de;subject relative;93.7993500010698;400.79935000107
30;13;283;de;subject relative;102.615652622453;385.615652622453
30;14;260;de;object relative;102.257561694478;362.257561694478
30;15;453;de;subject relative;109.986458727981;562.986458727981
30;16;468;de;object relative;95.9562976096984;563.956297609698
31;1;302;de;object relative;89.0627831897287;391.062783189729
31;2;438;de;subject relative;99.3882324270935;537.388232427093
31;3;262;de;object relative;95.5282298237538;357.528229823754
31;4;245;de;subject relative;91.605740987819;336.605740987819
31;5;382;de;object relative;102.708897380628;484.708897380628
31;6;390;de;subject relative;100.334297301018;490.334297301018
31;7;262;de;object relative;98.6861964646319;360.686196464632
31;8;334;de;subject relative;94.7444797413203;428.74447974132
31;9;189;de;object relative;99.0582920268085;288.058292026808
31;10;366;de;subject relative;101.863615488546;467.863615488546
31;11;342;de;object relative;103.91885498426;445.91885498426
31;13;262;de;object relative;104.158474762991;366.158474762991
31;14;350;de;subject relative;95.0483177082163;445.048317708216
31;15;302;de;object relative;96.1852065604196;398.18520656042
31;16;542;de;subject relative;104.390283100207;646.390283100207
32;1;483;de;subject relative;97.3431203225052;580.343120322505
32;2;377;de;object relative;97.7429794085312;474.742979408531
32;3;513;de;subject relative;94.1221286914867;607.122128691487
32;4;220;de;object relative;93.7817343314074;313.781734331407
32;5;319;de;subject relative;92.2611311116994;411.261131111699
32;6;390;de;object relative;100.474662271014;490.474662271014
32;7;267;de;subject relative;108.940666334786;375.940666334786
32;8;372;de;object relative;100.251593004497;472.251593004497
32;9;551;de;subject relative;104.390116738983;655.390116738983
32;10;358;de;object relative;99.8788131726281;457.878813172628
32;11;234;de;subject relative;99.9540545703429;333.954054570343
32;13;382;de;subject relative;96.3178335816513;478.317833581651
32;14;282;de;object relative;102.156427978964;384.156427978964
32;15;292;de;subject relative;106.017465566618;398.017465566618
32;16;305;de;object relative;95.4319988523866;400.431998852387
33;1;286;de;object relative;97.7795228247036;383.779522824704
33;2;265;de;subject relative;94.8854757119345;359.885475711935
33;3;254;de;object relative;100.07672328273;354.07672328273
33;4;510;de;subject relative;93.944671652236;603.944671652236
33;5;310;de;object relative;106.059960768706;416.059960768706
33;6;334;de;subject relative;93.8209286780733;427.820928678073
33;7;294;de;object relative;100.530548786247;394.530548786247
33;8;372;de;subject relative;94.1072124635374;466.107212463537
33;9;299;de;object relative;96.7341878610883;395.734187861088
33;10;326;de;subject relative;98.383032933863;424.383032933863
33;11;276;de;object relative;107.345557222055;383.345557222055
33;13;324;de;object relative;97.4076050468262;421.407605046826
33;14;278;de;subject relative;99.7863743337932;377.786374333793
33;15;318;de;object relative;104.435026742309;422.435026742309
33;16;664;de;subject relative;103.426963689041;767.426963689041
34;1;1312;de;subject relative;102.329964674325;1414.32996467432
34;2;357;de;object relative;100.497614649606;457.497614649606
34;3;358;de;subject relative;102.307966663394;460.307966663394
34;4;317;de;object relative;103.147721881821;420.147721881821
34;5;1393;de;subject relative;98.9325908061363;1491.93259080614
34;6;364;de;object relative;98.9741759747013;462.974175974701
34;7;462;de;subject relative;108.1619075683;570.1619075683
34;8;383;de;object relative;94.6005423610734;477.600542361073
34;9;298;de;subject relative;96.6517086604545;394.651708660455
34;10;1488;de;object relative;95.0527593834235;1583.05275938342
34;11;349;de;subject relative;106.426915018807;455.426915018807
34;13;1169;de;subject relative;105.183100861555;1274.18310086155
34;14;342;de;object relative;103.620418379218;445.620418379218
34;15;321;de;subject relative;92.9707007550437;413.970700755044
34;16;906;de;object relative;101.681381944666;1007.68138194467
35;1;398;de;object relative;90.5563659223641;488.556365922364
35;2;438;de;subject relative;99.8479524629098;537.84795246291
35;3;534;de;object relative;98.2146420803619;632.214642080362
35;4;286;de;subject relative;96.6138276121135;382.613827612113
35;5;350;de;object relative;101.724445795149;451.724445795149
35;6;334;de;subject relative;97.1141925148304;431.11419251483
35;7;366;de;object relative;102.42299435855;468.42299435855
35;8;302;de;subject relative;89.2853712151563;391.285371215156
35;9;302;de;object relative;98.9938207483654;400.993820748365
35;10;334;de;subject relative;91.6137694607539;425.613769460754
35;11;350;de;object relative;101.640700251201;451.640700251201
35;13;382;de;object relative;103.962315789556;485.962315789556
35;14;406;de;subject relative;97.3726541609585;503.372654160958
35;15;863;de;object relative;94.3844747088581;957.384474708858
35;16;406;de;subject relative;104.392548660795;510.392548660795
36;1;447;de;subject relative;95.0891234044947;542.089123404495
36;2;342;de;object relative;83.4311806689615;425.431180668961
36;3;681;de;subject relative;105.31365584618;786.31365584618
36;4;217;de;object relative;99.641343795262;316.641343795262
36;5;549;de;subject relative;93.7886410853509;642.788641085351
36;6;262;de;object relative;107.778449733295;369.778449733295
36;7;293;de;subject relative;93.5283282368441;386.528328236844
36;8;313;de;object relative;89.8346638778085;402.834663877809
36;9;291;de;subject relative;101.36750876118;392.36750876118
36;10;286;de;object relative;100.054767653594;386.054767653594
36;11;318;de;subject relative;98.207575602367;416.207575602367
36;13;346;de;subject relative;93.3784878988139;439.378487898814
36;14;292;de;object relative;94.3885701742139;386.388570174214
36;15;305;de;subject relative;90.3214809619497;395.32148096195
36;16;983;de;object relative;101.332013275448;1084.33201327545
37;1;414;de;object relative;102.030580367782;516.030580367782
37;2;470;de;subject relative;99.1020740112672;569.102074011267
37;3;558;de;object relative;96.6889010539085;654.688901053908
37;4;558;de;subject relative;99.7836656283113;657.783665628311
37;5;999;de;object relative;93.754216179118;1092.75421617912
37;6;879;de;subject relative;104.547286072844;983.547286072844
37;7;574;de;object relative;98.7278378440313;672.727837844031
37;8;871;de;subject relative;93.2692535212781;964.269253521278
37;9;430;de;object relative;99.624678673761;529.624678673761
37;10;526;de;subject relative;95.7284154860278;621.728415486028
37;11;654;de;object relative;105.240150776046;759.240150776046
37;13;566;de;object relative;99.4010113477674;665.401011347767
37;14;566;de;subject relative;111.509989549225;677.509989549225
37;15;470;de;object relative;93.1899700165873;563.189970016587
37;16;446;de;subject relative;98.2690651354462;544.269065135446
38;1;230;de;object relative;100.594009745389;330.594009745389
38;2;382;de;subject relative;100.198777926096;482.198777926096
38;3;222;de;object relative;107.891558597973;329.891558597973
38;4;270;de;subject relative;95.3225432449243;365.322543244924
38;5;390;de;object relative;99.4768066579762;489.476806657976
